!MOLECULE
p-H2CO
!MOLECULAR WEIGHT
30.0
!NUMBER OF ENERGY LEVELS
41
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J_Kp_Ko
    1        0.000000      1.0      0_0_0
    2        2.429600      3.0      1_0_1
    3        7.286400      5.0      2_0_2
    4       14.565500      7.0      3_0_3  
    5       24.259700      9.0      4_0_4
    6       36.359200     11.0      5_0_5   
    7       40.040200      5.0      2_2_1
    8       40.042600      5.0      2_2_0
    9       47.327800      7.0      3_2_2   
   10       47.339700      7.0      3_2_1   
   11       50.852400     13.0      6_0_6
   12       57.042500      9.0      4_2_3
   13       57.078000      9.0      4_2_2
   14       67.725200     15.0      7_0_7   
   15       69.182400     11.0      5_2_4   
   16       69.265200     11.0      5_2_3   
   17       83.745300     13.0      6_2_5
   18       83.910600     13.0      6_2_4
   19       86.962100     17.0      8_0_8
   20      100.728600     15.0      7_2_6   
   21      101.025000     15.0      7_2_5   
   22      108.546400     19.0      9_0_9   
   23      120.129100     17.0      8_2_7
   24      120.620300     17.0      8_2_6   
   25      132.460900     21.0     10_0_10
   26      141.943200     19.0      9_2_8
   27      142.709300     19.0      9_2_7  
   28      155.169400      9.0      4_4_1
   29      155.169400      9.0      4_4_0
   30      158.688500     23.0     11_0_11
   31      166.166900     21.0     10_2_9
   32      167.304400     21.0     10_2_8 
   33      167.314600     11.0      5_4_2   
   34      167.314600     11.0      5_4_1   
   35      181.889900     13.0      6_4_3
   36      181.889900     13.0      6_4_2
   37      187.213300     25.0     12_0_12
   38      192.795800     23.0     11_2_10   
   39      194.417500     23.0     11_2_9  
   40      198.896000     15.0      7_4_4
   41      198.896000     15.0      7_4_3
!NUMBER OF RADIATIVE TRANSITIONS
107
!TRANS + UP + LOW + EINSTEINA(s^-1) + FREQ(GHz) + E_u(K)
 81   35   18      2.781e-05    2937.346215    261.7
 82   35   15      4.550e-05    3378.887413    261.7
 83   35   11      8.330e-08    3928.407505    261.7
 84   36   34      1.354e-03     436.957489    261.7
 85   36   21      4.011e-06    2424.270085    261.7
 86   36   17      2.788e-05    2942.301150    261.7
 87   36   16      4.546e-05    3376.404228    261.7
 88   36   14      2.499e-08    3422.574013    261.7
 89   36    6      6.208e-08    4362.900675    261.7
 90   37   30      1.894e-02     855.151289    269.4
 91   38   31      1.489e-02     798.313452    277.4
 92   38   30      9.356e-05    1022.509470    277.4
 93   39   38      2.115e-07      48.618033    279.7
 94   39   37      3.148e-07     215.976154    279.7
 95   39   32      1.571e-02     812.831402    279.7
 96   39   25      2.517e-04    1857.412332    279.7
 97   40   35      2.636e-03     509.829554    286.2
 98   40   23      6.144e-06    2361.372388    286.2
 99   40   21      4.237e-05    2934.099416    286.2
100   40   17      6.601e-05    3452.130480    286.2
101   40   14      2.259e-07    3932.403344    286.2
102   41   36      2.636e-03     509.830148    286.2
103   41   24      6.077e-06    2346.646567    286.2
104   41   20      4.256e-05    2942.985055    286.2
105   41   19      6.393e-08    3355.695852    286.2
106   41   18      6.590e-05    3447.176587    286.2
107   41   11      1.761e-07    4438.237877    286.2
!NUMBER OF COLL PARTNERS
1
!COLLISIONS BETWEEN
1 p-H2CO - H2 scaled (*1.37) p-H2CO - He from Green (1991)
!NUMBER OF COLL TRANS
820
!NUMBER OF COLL TEMPS
21
!COLL TEMPS
   10.0   15.0   20.0   30.0   40.0   50.0   60.0   70.0   80.0   90.0  100.0  120.0  140.0  160.0  180.0  200.0  220.0  240.0  260.0  280.0  300.0
!TRANS + UP + LOW + COLLRATES(cm^3 s^-1)
   1    2    1  5.500e-11  5.400e-11  5.200e-11  5.000e-11  4.800e-11  4.600e-11  4.400e-11  4.300e-11  4.100e-11  4.000e-11  3.900e-11  3.700e-11  3.600e-11  3.500e-11  3.400e-11  3.300e-11  3.300e-11  3.200e-11  3.200e-11  3.100e-11  3.100e-11 
   2    3    1  1.500e-11  1.600e-11  1.700e-11  1.800e-11  2.000e-11  2.000e-11  2.100e-11  2.200e-11  2.200e-11  2.300e-11  2.300e-11  2.300e-11  2.400e-11  2.400e-11  2.400e-11  2.400e-11  2.500e-11  2.500e-11  2.500e-11  2.500e-11  2.500e-11 
   3    3    2  7.400e-11  7.200e-11  7.000e-11  6.700e-11  6.400e-11  6.100e-11  5.900e-11  5.800e-11  5.600e-11  5.500e-11  5.400e-11  5.200e-11  5.100e-11  5.000e-11  4.900e-11  4.900e-11  4.800e-11  4.800e-11  4.700e-11  4.700e-11  4.700e-11 
   4    4    1  4.100e-12  3.900e-12  3.800e-12  3.800e-12  3.900e-12  4.000e-12  4.200e-12  4.300e-12  4.500e-12  4.600e-12  4.700e-12  4.900e-12  5.000e-12  5.100e-12  5.200e-12  5.300e-12  5.300e-12  5.300e-12  5.400e-12  5.400e-12  5.400e-12 
   5    4    2  1.700e-11  1.800e-11  1.900e-11  2.100e-11  2.300e-11  2.500e-11  2.700e-11  2.800e-11  3.000e-11  3.100e-11  3.200e-11  3.400e-11  3.500e-11  3.700e-11  3.800e-11  3.800e-11  3.900e-11  4.000e-11  4.000e-11  4.100e-11  4.100e-11 
   6    4    3  7.200e-11  7.100e-11  7.000e-11  6.700e-11  6.400e-11  6.200e-11  6.000e-11  5.900e-11  5.800e-11  5.700e-11  5.600e-11  5.500e-11  5.500e-11  5.400e-11  5.400e-11  5.300e-11  5.300e-11  5.300e-11  5.300e-11  5.300e-11  5.300e-11 
   7    5    1  5.900e-12  5.100e-12  4.600e-12  4.000e-12  3.800e-12  3.900e-12  4.000e-12  4.100e-12  4.300e-12  4.500e-12  4.600e-12  4.900e-12  5.200e-12  5.500e-12  5.700e-12  5.900e-12  6.100e-12  6.300e-12  6.500e-12  6.600e-12  6.700e-12 
